Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
Africa Eastern and Southern,AFE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,43.67267864,43.64594771,43.6811243,43.65103151,43.62225066,43.64709566,43.65513134,43.68940597,43.74426177,43.82560251,43.95163145,43.99836958,44.00050149,44.01427694,44.04830557,44.06962472,44.07298659,44.162363,44.12808838,44.11693682,44.2072152,44.21049507,44.24558966,44.24526168,44.42221058,44.48485607,44.51330893,44.56070303,44.65098141,43.57026393,42.69926509,42.83910367,41.46971078,41.59208407,41.68707046,41.7979642,41.96002472,42.10699702,42.3440837,42.51680297,42.64234379,42.76429315,42.99738086,42.83393089,42.95943892,43.0774189,43.2027337,43.45888343,43.65218131,43.79919048,43.1717512,43.62191273,43.74768189,43.87793516,43.93715049,44.00568681,44.04262853,44.11797966,,
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,57.74591796,57.83782128,57.91440738,58.01090586,58.0139693,58.07217474,58.17326839,58.17480011,58.19930766,58.21462488,58.26057654,58.27589376,58.2789572,58.2789572,58.2789572,58.2789572,58.28202065,58.28202065,58.28048893,58.28048893,58.28661581,58.28814754,58.28814754,58.28814754,58.28814754,58.28814754,58.27436204,58.26670343,58.26670343,58.26670343,58.25138621,58.25138621,58.1043409,57.91900254,57.82709922,57.8255675,57.88377294,58.00171553,57.82709922,57.82709922,57.82709922,57.82709922,58.06757957,58.06911129,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,58.06911129,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,58.08136507,,
Africa Western and Central,AFW,Agricultural land (% of land area),AG.LND.AGRI.ZS,,33.44175478,33.55798545,33.81409439,33.94222679,34.20830082,33.93735423,34.15521335,34.25526,34.87351353,34.45937249,34.29655848,33.82913764,34.3923339,33.88026769,33.83555647,33.90199629,33.42873694,33.30868095,33.2865712,33.63037792,33.2546226,33.45427371,33.58295249,34.05742788,34.38011979,35.03368422,35.06021592,35.24748557,35.32033722,35.23768873,35.45703765,35.66502656,35.898754,36.10925846,36.64751851,36.5230806,36.73159462,36.76812348,36.98067972,37.09307876,37.42009954,37.54504156,37.8422219,37.80082646,38.48051191,38.49110856,38.66962661,38.96142068,39.09409415,39.26577697,39.34968328,39.51496057,39.74019156,39.76514684,39.79205331,39.88912422,39.93069918,39.95354519,,
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,,45.85706265,45.88112617,45.89716852,45.92123205,45.9372744,45.96133793,45.98540146,46.00946499,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04475816,36.5465926,36.67125531,36.79591802,36.92058073,37.04524344,37.16990615,37.29456886,37.41923157,37.54389428,37.66855699,38.11378118,38.55900537,39.00422957,39.44945376,39.89467795,40.33990214,40.78512633,41.23035053,41.67557472,42.12079891,42.5660239,43.0112489,43.45647389,43.90169889,44.34692388,44.79215529,45.23737066,45.68259405,,
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,44.96350365,44.96350365,45,44.89051095,45.1459854,45.25547445,45.40145985,45.25547445,45.0729927,44.89051095,43.79562044,42.84671533,41.82481752,40.94890511,39.41605839,39.23357664,40.47445255,40.65693431,40.76642336,40.80291971,40.72992701,40.65693431,40.51094891,40.62043796,40.58394161,40.54744526,40.54744526,40.76642336,40.51094891,40.91240876,41.13138686,41.13138686,41.09489051,41.09489051,41.13138686,41.27737226,41.42335766,41.56934307,41.78832117,41.75182482,41.56934307,41.60583942,40.91240876,40.94890511,39.30656934,40.87591241,40.83941606,43.10218978,43.84306569,43.84306569,43.83211679,43.84306569,43.33211679,42.85729927,42.85766423,43.12773723,42.67083942,42.84967153,,
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,53.19148936,53.19148936,51.06382979,51.06382979,51.06382979,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.40425532,48.61702128,48.63829787,48.53191489,46.38297872,46.34042553,44.19148936,44.17021277,44.19148936,42.06382979,42.06382979,39.91489362,40.0212766,40,40.0212766,40.04255319,40.04255319,40.06382979,,
Arab World,ARB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,27.83564273,27.82656433,27.84552218,27.84792529,27.86697214,27.8661711,27.91859446,27.94502864,28.00332626,28.07043527,28.29828549,28.34697067,28.33185186,28.3905057,28.35436995,28.42922257,28.44577737,28.49410671,28.50745736,28.60180193,28.22857126,28.25257928,28.30486041,28.79897852,29.21956304,29.65408208,30.14317856,30.58935717,31.04014619,31.53460074,31.63937661,31.74128167,32.43811297,33.11271815,33.74254179,34.3851037,34.97782328,35.71083477,36.32913593,36.31015134,36.30613725,36.36906319,36.41620468,36.48391699,36.54005594,36.48877632,36.4937179,36.41250942,36.37181579,36.42554503,36.50300298,36.52596216,36.57424752,36.57079388,36.5832194,36.56196636,36.56034475,36.56355816,,
United Arab Emirates,ARE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,2.928752464,2.928752464,2.928752464,2.928752464,2.942833005,2.956913545,2.956913545,2.956913545,2.956913545,2.985074627,2.985074627,2.985074627,2.999155168,3.013235708,3.027316249,3.04139679,3.05547733,3.069557871,3.083638412,3.139960574,3.196282737,3.196282737,3.266685441,3.266685441,3.308927063,3.351168685,3.351168685,3.365249226,3.365249226,4.012954097,4.364967615,4.773303295,4.998591946,5.237961138,5.392847085,5.449169248,5.561813574,5.604055196,7.265558997,7.702055759,7.913263869,7.969586032,7.800619544,7.800619544,7.842861166,7.583779217,7.499295973,7.597859758,5.461841735,5.523796114,5.470290059,5.304139679,5.342157139,5.385806815,5.390030977,5.404111518,5.404111518,5.375246409,,
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,50.3633952,49.85365533,49.28398905,48.70738008,48.15306081,47.84904392,47.39411479,47.22310528,47.24758741,47.23954851,47.19350749,47.14746646,47.10142544,47.05538442,47.0093434,46.96330238,46.91726136,46.87122034,46.82517932,46.7791383,46.73309728,47.05282659,47.00715097,46.96074455,46.91470353,46.86866251,46.7495405,46.54527915,46.57816559,46.61287906,46.64759253,46.682306,46.71701947,46.75282915,46.78827343,46.8237177,46.85770036,46.89241383,46.92237703,46.95818671,46.99326559,47.0312677,47.8254753,49.09032444,50.35188494,51.56009632,52.63036734,52.71367966,52.54230476,53.89028352,54.18260746,54.53814645,54.51804918,54.33571212,54.33571212,54.33571212,54.33571212,54.36055965,,
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.09589041,41.48226203,42.14963119,43.69511767,45.87284861,46.78609062,46.64559185,46.46996839,46.46996839,46.64559185,48.85844749,50.7200562,52.86266245,56.37513172,61.69301019,61.53494907,61.42606252,61.33825079,60.94134176,59.6452406,59.11485774,59.11485774,59.03407095,58.89357218,58.89708465,58.87249737,58.914647,,
