Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268747069,0.234954768,0.238777584,0.195134319,0.18324054,0.173371733,0.167474285,0.160095867,0.157875691,0.160927638,0.175300002,0.180500001,0.181400001,0.184599996,0.187099993,0.1866,0.189899996,0.189999998,0.193499997,0.299800009,5.464700222,5.661799908,6.855899811,6.889699936,6.927499771,6.728000164,6.994599819,6.699299812,8.024100304,,
Africa Eastern and Southern,AFE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.62596452,62.87631857,64.6365408,65.29167597,65.37976393,64.98250979,64.21866816,63.385625,64.10636535,65.16892741,65.13244465,65.56814485,64.57885431,64.10314478,63.21618045,62.50059645,62.20141964,61.41850851,61.89890528,61.25255409,62.56452862,62.29384156,61.10955435,60.46883801,60.80393366,61.0972641,,,,,
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.92453168,17.03644353,26.52162865,30.58566705,32.79625055,35.07564029,37.9457475,41.43260087,44.09433685,52.18577437,54.24319839,54.05500031,43.77119827,42.27610016,49.84320068,40.85919952,37.13729858,33.86259842,21.34370041,17.85040092,14.89900017,11.55910015,14.4048996,17.10499954,20.77029991,20.2737999,24.74029922,25.08279991,21.42270088,,
Africa Western and Central,AFW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.08221441,85.44301407,83.98307062,85.30530676,86.76366714,86.34819856,85.28125594,83.94793656,84.6406735,83.90024707,83.23915972,81.99926348,81.63420517,80.5603506,81.1680499,81.07021001,81.90266191,82.17225894,81.5551145,82.61542497,80.93362341,79.52529287,79.07100656,77.54422913,76.27614307,76.96752665,,,,,
Angola,AGO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.25525192,71.8886392,72.72328252,71.27705632,72.22026891,73.94588834,73.13960045,73.73441595,76.81979363,73.41078383,73.44110107,72.33730316,70.42099762,65.14040375,61.91569901,68.37830353,62.12730026,58.49160004,54.88209915,52.41389847,50.76480103,49.23920059,49.44329834,47.93849945,48.2112999,47.81560135,49.0080986,56.18050003,56.78549957,,
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.51808763,32.99817424,46.81332881,51.1520423,51.45954422,50.60970958,51.63636056,55.95334942,49.98336544,42.71831341,41.44499969,39.12530136,35.89580154,33.75170135,35.93470001,36.86830139,31.7098999,32.10039902,35.91189957,37.21519852,37.11370087,35.96110153,40.04669952,41.28699875,38.69739914,38.62559891,39.58729935,37.21979904,38.26639938,,
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.27355021,14.27355021,14.30875446,13.91895459,14.56102442,14.48104808,14.1000476,14.19400246,14.45864172,14.54989054,14.50819969,15.38829994,15.82979965,16.51539993,16.56669998,16.6079998,17.56800079,16.55629921,17.02120018,17.12630081,18.67090034,18.55220032,18.7628994,19.1413002,19.42009926,19.27770042,19.25580025,19.0632,18.50600052,,
Arab World,ARB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.344357767,7.284092766,6.91296591,6.737793486,6.914191777,6.817911043,6.80520668,6.843938083,6.757473332,6.744100456,6.567272344,6.42183998,6.25625618,6.358721646,6.680245215,6.326140234,6.137155635,5.556112938,5.144955614,5.035352905,4.786074275,4.658073653,4.24028973,4.301412753,4.179762381,4.080759506,,,,,
United Arab Emirates,ARE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.188369133,0.150356177,0.12014534,0.112604486,0.080332347,0.076355659,0.072469921,0.071648551,0.076399997,0.0647,0.066500001,0.066299997,0.100400001,0.1052,0.117399998,0.112800002,0.110799998,0.107699998,0.109399997,0.109200001,0.101800002,0.102899998,0.137700006,0.126399994,0.123000003,0.173199996,0.259200007,,
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.922907467,8.748184307,9.471649616,10.12834244,10.73490935,11.20518463,10.19385559,10.9990734,11.34300914,10.30617339,9.847999573,11.50889969,11.61909962,10.82460022,9.288700104,9.643500328,9.180100441,7.716599941,7.651100159,8.590999603,8.787500381,8.833100319,8.611800194,8.913399696,9.781399727,9.393199921,9.376899719,10.36849976,10.52079964,,
