Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Surface area (sq. km),AG.SRF.TOTL.K2,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,,
Africa Eastern and Southern,AFE,Surface area (sq. km),AG.SRF.TOTL.K2,,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12718531,12600931,12600931,12600931,12600931,12600931,12600931,12600931,12600931,12600931,12600931,12600931,12632899.64,12632902.43,12632902.65,12632897.28,12632895.35,12632894.49,12632895.13,15121164.46,15121164.56,15121160.4,15121160.57,15121160.08,15121155.27,15121155.64,15121157.39,,
Afghanistan,AFG,Surface area (sq. km),AG.SRF.TOTL.K2,,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,,
Africa Western and Central,AFW,Surface area (sq. km),AG.SRF.TOTL.K2,,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,,
Angola,AGO,Surface area (sq. km),AG.SRF.TOTL.K2,,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,,
Albania,ALB,Surface area (sq. km),AG.SRF.TOTL.K2,,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,,
Andorra,AND,Surface area (sq. km),AG.SRF.TOTL.K2,,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,,
Arab World,ARB,Surface area (sq. km),AG.SRF.TOTL.K2,,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11290988.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291018.9,11291028.9,11291038.9,11291038.9,11291048.9,11291058.9,11288518.9,11288520.9,13142632.79,13142634.93,13142446.24,13142326.67,13142335.69,13142335.82,13142338.82,13142337.31,,
United Arab Emirates,ARE,Surface area (sq. km),AG.SRF.TOTL.K2,,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,,
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,,
